"youtuber","category","category_top","country","continent","highest_monthly_earnings","created_year","subscribers","subscriber_tier","video_views"
"HolaSoyGerman.","Entertainment","Entertainment","Nothing","Other","0.02",2016,43600000,"10M-100M","4831311245"
"Shakira","People & Blogs","People & Blogs","Colombia","South America","1400000.00",2005,43500000,"10M-100M","27568757295"
"�������� �� ��������������","Film & Animation","Film & Animation","Russia","Europe","1200000.00",2011,43200000,"10M-100M","36458726976"
"ARY Digital HD","Entertainment","Entertainment","Pakistan","Other","4600000.00",2016,43200000,"10M-100M","37939780685"
"Speed Records","Music","Music","India","Asia","639000.00",2012,42500000,"10M-100M","26820902622"
"Masha and The Bear","Shows","Other","United States","North America","2700000.00",2014,42400000,"10M-100M","24519022988"
"Like Nastya Show","Entertainment","Entertainment","United States","North America","212800.00",2017,42400000,"10M-100M","19547696190"
"Rihanna","Entertainment","Entertainment","Barbados","Other","731700.00",2005,41900000,"10M-100M","22477745835"
"Ishtar Music","Trailers","Other","India","Asia","723800.00",2005,41400000,"10M-100M","17608931161"
"Kimberly Loaiza","People & Blogs","People & Blogs","Mexico","North America","547000.00",2016,41300000,"10M-100M","5603111948"
"Little Baby Bum - Nursery Rhymes & Kids Songs","Education","Education","United States","North America","395100.00",2011,40900000,"10M-100M","39450824833"
"Luisito Comunica","Comedy","Comedy","Mexico","North America","0.00",2010,40600000,"10M-100M","8670473639"
"elrubiusOMG","Gaming","Gaming","Nothing","Other","23100.00",2011,40400000,"10M-100M","7410536668"
"Toys and Colors","Entertainment","Entertainment","Nothing","Other","0.02",2018,40300000,"10M-100M","47005053156"
"shfa2 - ��","People & Blogs","People & Blogs","United Arab Emirates","Other","990900.00",2017,39700000,"10M-100M","23884824160"
"LUCCAS NETO - LUCCAS TOON","People & Blogs","People & Blogs","Nothing","Other","0.01",2021,39400000,"10M-100M","22302547082"
"CarryMinati","Comedy","Comedy","India","Asia","314800.00",2014,39200000,"10M-100M","3294013141"
"Super Simple Songs - Kids Songs","Education","Education","Canada","North America","2200000.00",2006,39200000,"10M-100M","44900897958"
"XXXTENTACION","Music","Music","United States","North America","233400.00",2015,39200000,"10M-100M","10507474316"
"Mikecrack","Gaming","Gaming","Spain","Europe","1100000.00",2015,39100000,"10M-100M","16118181673"
"WorkpointOfficial","Entertainment","Entertainment","Thailand","Asia","521800.00",2012,39000000,"10M-100M","36131228583"
"GR6 EXPLODE","Music","Music","Brazil","South America","6500000.00",2014,38900000,"10M-100M","25154232306"
"TEDx Talks","Nonprofits & Activism","Other","United States","North America","182600.00",2009,38600000,"10M-100M","7339333120"
"shfa","People & Blogs","People & Blogs","Saudi Arabia","Other","6400.00",2018,38400000,"10M-100M","21528116909"
"Goldmines Gaane Sune Ansune","Music","Music","India","Asia","3300000.00",2015,38300000,"10M-100M","16718192386"
"Sony PAL","Shows","Other","India","Asia","1700000.00",2014,38200000,"10M-100M","28519339489"
"TheEllenShow","Entertainment","Entertainment","United States","North America","87200.00",2006,38200000,"10M-100M","22756581750"
"One Direction","Music","Music","United States","North America","25.00",2016,38200000,"10M-100M","13598903820"
"Daddy Yankee","Music","Music","United States","North America","822400.00",2011,38000000,"10M-100M","22731415608"
"Vlad v���","nan","Other","United States","North America","976400.00",2018,37900000,"10M-100M","23510152352"
"Like Nastya ESP","Entertainment","Entertainment","United States","North America","1300000.00",2017,37600000,"10M-100M","18208196857"
"������������ one31","Entertainment","Entertainment","Thailand","Asia","563000.00",2013,37500000,"10M-100M","27262462114"
"Jkk Entertainment","Comedy","Comedy","India","Asia","199400.00",2017,37200000,"10M-100M","16402066717"
"ABP NEWS","People & Blogs","People & Blogs","India","Asia","1100000.00",2012,37000000,"10M-100M","13102611515"
"Maria Clara & JP","People & Blogs","People & Blogs","Brazil","South America","1000000.00",2015,37000000,"10M-100M","24188861917"
"Bruno Mars","Music","Music","United States","North America","701000.00",2006,36700000,"10M-100M","19378155425"
"Ultra Bollywood","Trailers","Other","India","Asia","0.00",2009,36600000,"10M-100M","15653786446"
"Maroon 5","Music","Music","United States","North America","611300.00",2006,36600000,"10M-100M","22553923546"
"PowerKids TV","Film & Animation","Film & Animation","Nothing","Other","1300000.00",2014,36500000,"10M-100M","18961241905"
"YouTube","News & Politics","Other","United States","North America","84400.00",1970,36300000,"10M-100M","3010784935"
"News","nan","Other","Nothing","Other","0.00",2013,36300000,"10M-100M","0"
"Ozuna","Music","Music","Nothing","Other","677000.00",2016,36200000,"10M-100M","23355801606"
"MrBeast Gaming","Gaming","Gaming","Nothing","Other","0.13",2011,36100000,"10M-100M","6331332547"
"La Granja de Zen�","Music","Music","Argentina","South America","1200000.00",2013,35700000,"10M-100M","27118354077"
"Saregama Music","Entertainment","Entertainment","India","Asia","2100000.00",2013,35500000,"10M-100M","15657673422"
"IndiaTV","News & Politics","Other","India","Asia","1200000.00",2006,35500000,"10M-100M","16105023749"
"T-Series Bollywood Classics","Music","Music","India","Asia","1300000.00",2012,35400000,"10M-100M","22637783517"
"Total Gaming","Gaming","Gaming","Nothing","Other","0.21",2006,35400000,"10M-100M","5556364230"
"Markiplier","Gaming","Gaming","United States","North America","509300.00",2012,35200000,"10M-100M","20297931219"
"Ryan's World","Entertainment","Entertainment","United States","North America","954500.00",2015,35200000,"10M-100M","55299840198"
"Genevieve's Playhouse - Learning Videos for Kids","Education","Education","United States","North America","1300000.00",2016,34900000,"10M-100M","25607397308"
"T-Series Apna Punjab","Music","Music","Nothing","Other","0.00",2020,34600000,"10M-100M","21306315429"
"Techno Gamerz","Gaming","Gaming","Nothing","Other","0.34",2010,34400000,"10M-100M","9690499664"
"Geet MP3","Music","Music","India","Asia","405400.00",2016,34300000,"10M-100M","12746535822"
"J Balvin","Music","Music","Colombia","South America","514800.00",2011,34100000,"10M-100M","23005313609"
"Jingle Toons","Film & Animation","Film & Animation","India","Asia","719600.00",2013,34000000,"10M-100M","11351015824"
"Jess No Limit","Entertainment","Entertainment","Indonesia","Asia","2200000.00",2017,34000000,"10M-100M","3963007415"
"VEGETTA777","Gaming","Gaming","Spain","Europe","156400.00",2008,33800000,"10M-100M","15432929204"
"Galinha Pintadinha","Film & Animation","Film & Animation","Brazil","South America","1600000.00",2006,33800000,"10M-100M","27274550757"
"Desi Music Factory","Music","Music","Nothing","Other","0.00",2018,33700000,"10M-100M","10189027455"
"SSSniperWolf","Gaming","Gaming","United States","North America","843800.00",2013,33700000,"10M-100M","23492684419"
"Selena Gomez","Film & Animation","Film & Animation","United States","North America","463200.00",2008,33600000,"10M-100M","13013567335"
"Rajshri","Music","Music","India","Asia","1100000.00",2006,33500000,"10M-100M","14864294792"
"KHANDESHI MOVIES","Comedy","Comedy","India","Asia","98900.00",2013,33500000,"10M-100M","11405809704"
"Ch3Thailand","Entertainment","Entertainment","Thailand","Asia","0.00",2014,33500000,"10M-100M","29611914495"
"NoCopyrightSounds","Music","Music","United Kingdom","Europe","222600.00",2011,33400000,"10M-100M","10530729078"
"CVS 3D Rhymes & Kids Songs","Education","Education","India","Asia","544300.00",2008,33400000,"10M-100M","20269857567"
"Ricis Official","People & Blogs","People & Blogs","Indonesia","Asia","628400.00",2016,33300000,"10M-100M","5994136760"
"BabyBus - Kids Songs and Cartoons","Education","Education","United States","North America","510000.00",2016,32800000,"10M-100M","26355088167"
"Eros Now Music","Entertainment","Entertainment","India","Asia","81100.00",2012,32700000,"10M-100M","17853798780"
"BETER B��","nan","Other","Turkey","Other","5900000.00",2012,32700000,"10M-100M","19180039918"
"DisneyMusicVEVO","Music","Music","United States","North America","1300000.00",2010,32700000,"10M-100M","28516250629"
"The Weeknd","Music","Music","Canada","North America","1500000.00",2011,32600000,"10M-100M","23379969006"
"WowKidz","Film & Animation","Film & Animation","Nothing","Other","0.00",2006,32200000,"10M-100M","16613441479"
"rezendeevil","Gaming","Gaming","Brazil","South America","178000.00",2012,32100000,"10M-100M","13061739758"
"Mr Bean","Shows","Other","United Kingdom","Europe","226100.00",2006,32100000,"10M-100M","10602236110"
"KAROL G","Music","Music","Colombia","South America","1900000.00",2013,32100000,"10M-100M","18699145555"
"StarPlus","Entertainment","Entertainment","India","Asia","6700000.00",2006,32000000,"10M-100M","26800674545"
"SMTOWN","Music","Music","Nothing","Other","933600.00",2006,31900000,"10M-100M","27330239663"
"GMA  Network","Entertainment","Entertainment","Philippines","Asia","3200000.00",2006,31900000,"10M-100M","19428308461"
"GENIAL","Howto & Style","Other","Mexico","North America","125800.00",2017,31800000,"10M-100M","6762424690"
"Worldwide Records Bhojpuri","Music","Music","India","Asia","450600.00",2012,31700000,"10M-100M","16476978876"
"MR. INDIAN HACKER","Science & Technology","Other","India","Asia","436500.00",2012,31700000,"10M-100M","5711208484"
"DONA ��","Entertainment","Entertainment","United States","North America","613100.00",2018,31700000,"10M-100M","21031745531"
"Dream","Gaming","Gaming","United States","North America","108100.00",2014,31700000,"10M-100M","2930015381"
"Lucas and Marcus","Entertainment","Entertainment","United States","North America","1200000.00",2011,31600000,"10M-100M","11615848291"
"JustinBieberVEVO","Music","Music","United States","North America","420500.00",2009,31600000,"10M-100M","26583873105"
"Luis Fonsi","Entertainment","Entertainment","Nothing","Other","0.00",2006,31400000,"10M-100M","15176762479"
"Peppa Pig - Official Channel","Film & Animation","Film & Animation","United Kingdom","Europe","979700.00",2013,31400000,"10M-100M","22919271731"
"TheDonato","Entertainment","Entertainment","Argentina","South America","762700.00",2015,31200000,"10M-100M","6187804950"
"The Tonight Show Starring Jimmy Fallon","Comedy","Comedy","United States","North America","0.00",2006,31200000,"10M-100M","17111726160"
"YOLO AVENTURAS","People & Blogs","People & Blogs","Venezuela","Other","14.00",2018,31200000,"10M-100M","9673649438"
"Diana and Roma ESP","nan","Other","United States","North America","412000.00",2016,30700000,"10M-100M","12355992466"
"ImagineDragons","Music","Music","United States","North America","755300.00",2009,30700000,"10M-100M","16793072362"
"Round2hell","Comedy","Comedy","India","Asia","127300.00",2016,30700000,"10M-100M","3145161634"
"Zee News","News & Politics","Other","India","Asia","1800000.00",2007,30500000,"10M-100M","16709857823"
"AboFlah","Gaming","Gaming","Kuwait","Other","631600.00",2016,30500000,"10M-100M","4521573939"
"Trap Nation","Music","Music","United States","North America","183300.00",2012,30400000,"10M-100M","14037426379"
"��������������� ������ ������������������","nan","Other","United States","North America","491700.00",2018,30400000,"10M-100M","17999961915"
"AH","Entertainment","Entertainment","Indonesia","Asia","85800.00",2014,30400000,"10M-100M","4332274962"
"Boram Tube Vlog [���������","Entertainment","Entertainment","United States","North America","90900.00",2012,30300000,"10M-100M","13546549817"
"�������� �������� ���������� | toyoraljanahtv","Entertainment","Entertainment","Jordan","Other","465700.00",2008,30200000,"10M-100M","27684955537"
"Talking Tom","Comedy","Comedy","United States","North America","0.00",2008,30200000,"10M-100M","15199330166"
"Adele","Music","Music","United Kingdom","Europe","548400.00",2008,30200000,"10M-100M","14199108016"
"Frost Diamond","Gaming","Gaming","Nothing","Other","0.00",2006,30100000,"10M-100M","7277493940"
"jacksepticeye","Gaming","Gaming","Nothing","Other","161700.00",2007,30100000,"10M-100M","16246625836"
"Little Angel: Nursery Rhymes & Kids Songs","Education","Education","United States","North America","430100.00",2015,30100000,"10M-100M","22593193994"
"Spinnin' Records","Music","Music","Netherlands","Europe","400200.00",2007,30100000,"10M-100M","19607009165"
"Shawn Mendes","Music","Music","Canada","North America","355000.00",2011,30000000,"10M-100M","12831200855"
"ashish chanchlani vines","Comedy","Comedy","India","Asia","104700.00",2009,29800000,"10M-100M","4457913639"
"Ultra Records","Music","Music","United States","North America","327500.00",2006,29600000,"10M-100M","17208027242"
"Maluma","Music","Music","Argentina","South America","0.06",2015,29300000,"10M-100M","21226945136"
"Popular on YouTube","nan","Other","Nothing","Other","0.00",2017,29300000,"10M-100M","0"
"AuronPlay","Comedy","Comedy","Spain","Europe","48600.00",2006,29200000,"10M-100M","4079141673"
"Enaldinho","Comedy","Comedy","Brazil","South America","1200000.00",2012,29200000,"10M-100M","11627437847"
"Zhong","Entertainment","Entertainment","United States","North America","0.00",2015,29200000,"10M-100M","14727238483"
"Shorts Break","Comedy","Comedy","Nothing","Other","243.00",2021,29000000,"10M-100M","19466238065"
"infobells - Tamil","Education","Education","India","Asia","439300.00",2014,28900000,"10M-100M","17930570614"
"Aditya Music India","Music","Music","Nothing","Other","0.00",2010,28500000,"10M-100M","25857994495"
"The Late Late Show with James Corden","Entertainment","Entertainment","United States","North America","105700.00",2006,28400000,"10M-100M","9956764048"
"Aditya Movies","Movies","Other","India","Asia","909400.00",2012,28400000,"10M-100M","10062770060"
"Masha y el Oso","Film & Animation","Film & Animation","Nothing","Other","0.01",2019,28300000,"10M-100M","13577142726"
"HUM TV","Entertainment","Entertainment","Pakistan","Other","2700000.00",2011,28300000,"10M-100M","23844936965"
"infobells - Telugu","Education","Education","India","Asia","1200000.00",2014,28300000,"10M-100M","14814192034"
"Shemaroo Movies","Entertainment","Entertainment","India","Asia","739900.00",2011,28200000,"10M-100M","7600740993"
"Michael Jackson","Music","Music","United States","North America","634400.00",2005,28200000,"10M-100M","14412474625"
"Drake","Music","Music","Nothing","Other","0.12",2005,28100000,"10M-100M","15318895118"
"Goldmines Dishoom","Film & Animation","Film & Animation","Nothing","Other","516800.00",2016,28000000,"10M-100M","8603468420"
"Bounce Patrol - Kids Songs","Music","Music","Australia","Oceania","509800.00",2013,27800000,"10M-100M","21037851468"
"Sandeep Maheshwari","People & Blogs","People & Blogs","Singapore","Other","0.00",2008,27800000,"10M-100M","2303069221"
"toycantando","Music","Music","Colombia","South America","695300.00",2009,27700000,"10M-100M","15777682516"
"Wiz Khalifa","Music","Music","United States","North America","361800.00",2008,27500000,"10M-100M","13379395501"
"MrBeast 2","People & Blogs","People & Blogs","United States","North America","0.00",2011,27500000,"10M-100M","4552581106"
"JYP Entertainment","Music","Music","South Korea","Asia","1200000.00",2008,27400000,"10M-100M","19883150017"
