"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Alan Chikin Chow","Comedy","United States","Comedy","United States","North America","26400000","27006526665","4200000.00","10811790666",2020
"Speed Records","Music","India","Music","India","Asia","42500000","26820902622","639000.00","10741302749",2012
"StarPlus","Entertainment","India","Entertainment","India","Asia","32000000","26800674545","6700000.00","10731879818",2006
"JustinBieberVEVO","Music","United States","Music","United States","North America","31600000","26583873105","420500.00","10643155392",2009
"BabyBus - Kids Songs and Cartoons","Education","United States","Education","United States","North America","32800000","26355088167","510000.00","10552028267",2016
"5-Minute Crafts","Howto & Style","United Kingdom","Other","United Kingdom","Europe","80100000","26236790209","0.00","10518746084",2020
"Aditya Music India","Music","Nothing","Music","Nothing","Other","28500000","25857994495","0.00","10351747798",2010
"Genevieve's Playhouse - Learning Videos for Kids","Education","United States","Education","United States","North America","34900000","25607397308","1300000.00","10253818923",2016
"TaylorSwiftVEVO","Music","United States","Music","United States","North America","25600000","25592378292","1300000.00","10245021317",2009
"GMM GRAMMY OFFICIAL","Music","Thailand","Music","Thailand","Asia","23100000","25579831081","520900.00","10239018702",2010
"Katy Perry","Music","United States","Music","United States","North America","44200000","25458952022","537000.00","10197001909",2008
"shakiraVEVO","Music","United States","Music","United States","North America","18400000","25367126292","1100000.00","10152700517",2009
"Aaj Tak","News & Politics","India","Other","India","Asia","57600000","25307753534","1800000.00","10140921414",2009
"GR6 EXPLODE","Music","Brazil","Music","Brazil","South America","38900000","25154232306","6500000.00","10075312922",2014
"Masha and The Bear","Shows","United States","Other","United States","North America","42400000","24519022988","2700000.00","9821139195",2014
"Maria Clara & JP","People & Blogs","Brazil","People & Blogs","Brazil","South America","37000000","24188861917","1000000.00","9686944767",2015
"Goldmines","Film & Animation","Nothing","Film & Animation","Nothing","Other","86900000","24118230580","0.07","9673362232",2006
"FGTeeV","Gaming","United States","Gaming","United States","North America","22300000","24059336857","528400.00","9630583263",2013
"Ariana Grande","Music","United States","Music","United States","North America","52700000","24004842608","640900.00","9617939313",2007
"1theK (�����","Music","South Korea","Music","South Korea","Asia","24500000","23962070944","422300.00","9592305068",2011
"shfa2 - ��","People & Blogs","United Arab Emirates","People & Blogs","United Arab Emirates","Other","39700000","23884824160","990900.00","9566136934",2017
"HUM TV","Entertainment","Pakistan","Entertainment","Pakistan","Other","28300000","23844936965","2700000.00","9547274786",2011
"KatyPerryVEVO","Music","United States","Music","United States","North America","24600000","23755792542","355800.00","9509803757",2009
"Vlad v���","nan","United States","Other","United States","North America","37900000","23510152352","976400.00","9415723861",2018
"SSSniperWolf","Gaming","United States","Gaming","United States","North America","33700000","23492684419","843800.00","9407436908",2013
"The Weeknd","Music","Canada","Music","Canada","North America","32600000","23379969006","1500000.00","9362217602",2011
"Ozuna","Music","Nothing","Music","Nothing","Other","36200000","23355801606","677000.00","9353383742",2016
"CookieSwirlC","Entertainment","United States","Entertainment","United States","North America","20100000","23353115850","886800.00","9347542380",2013
"etvteluguindia","Entertainment","India","Entertainment","India","Asia","19400000","23038014291","1100000.00","9221355716",2010
"J Balvin","Music","Colombia","Music","Colombia","South America","34100000","23005313609","514800.00","9212509884",2011
"A4","Gaming","Cuba","Gaming","Cuba","Other","46300000","22936630813","0.38","9188542325",2006
"Peppa Pig - Official Channel","Film & Animation","United Kingdom","Film & Animation","United Kingdom","Europe","31400000","22919271731","979700.00","9177422602",2013
"TheEllenShow","Entertainment","United States","Entertainment","United States","North America","38200000","22756581750","87200.00","9114118860",2006
"Daddy Yankee","Music","United States","Music","United States","North America","38000000","22731415608","822400.00","9104212963",2011
"T-Series Bollywood Classics","Music","India","Music","India","Asia","35400000","22637783517","1300000.00","9066123407",2012
"Little Angel: Nursery Rhymes & Kids Songs","Education","United States","Education","United States","North America","30100000","22593193994","430100.00","9046436628",2015
"Maroon 5","Music","United States","Music","United States","North America","36600000","22553923546","611300.00","9032732808",2006
"Shemaroo","Entertainment","India","Entertainment","India","Asia","47400000","22519705183","931000.00","9022381373",2007
"Rihanna","Entertainment","Barbados","Entertainment","Barbados","Other","41900000","22477745835","731700.00","9003887844",2005
"Sesame Street","Entertainment","United States","Entertainment","United States","North America","23300000","22471357411","496700.00","8995681974",2006
"Nick Jr.","Film & Animation","United States","Film & Animation","United States","North America","27300000","22440611155","170200.00","8984485522",2012
"LUCCAS NETO - LUCCAS TOON","People & Blogs","Nothing","People & Blogs","Nothing","Other","39400000","22302547082","0.01","8932838833",2021
"SMOL","People & Blogs","Nothing","People & Blogs","Nothing","Other","21500000","22065582014","0.01","8832682806",2006
"shfa","People & Blogs","Saudi Arabia","People & Blogs","Saudi Arabia","Other","38400000","21528116909","6400.00","8622768684",2018
"Voot Kids","Entertainment","India","Entertainment","India","Asia","45500000","21388725229","936000.00","8569420892",2016
"T-Series Apna Punjab","Music","Nothing","Music","Nothing","Other","34600000","21306315429","0.00","8532906172",2020
"Maluma","Music","Argentina","Music","Argentina","South America","29300000","21226945136","0.06","8499568054",2015
"Bounce Patrol - Kids Songs","Music","Australia","Music","Australia","Oceania","27800000","21037851468","509800.00","8423633527",2013
"DONA ��","Entertainment","United States","Entertainment","United States","North America","31700000","21031745531","613100.00","8422392142",2018
"dednahype","Comedy","Latvia","Comedy","Latvia","Other","20200000","20919403720","5000000.00","8375321488",2020
"BANGTANTV","Music","South Korea","Music","South Korea","Asia","75600000","20826993957","673200.00","8353679543",2012
"Sun TV","People & Blogs","India","People & Blogs","India","Asia","22600000","20847038152","3900000.00","8346765261",2016
"jbalvinVEVO","Music","Colombia","Music","Colombia","South America","13200000","20743586601","345100.00","8301498170",2010
"Disney Latinoam��","Entertainment","Mexico","Entertainment","Mexico","North America","21900000","20657571751","19.00","8269598706",2008
"EminemVEVO","Music","United States","Music","United States","North America","24700000","20531704527","557800.00","8220259151",2009
"LEGO","Entertainment","Singapore","Entertainment","Singapore","Other","16200000","20522339099","468800.00","8213936280",2005
"WORLDSTARHIPHOP","Music","United States","Music","United States","North America","26500000","20358117330","356400.00","8151303852",2008
"Markiplier","Gaming","United States","Gaming","United States","North America","35200000","20297931219","509300.00","8129885278",2012
"That Little Puff","Pets & Animals","United States","Other","United States","North America","23700000","20289689389","3000000.00","8123885756",2020
"CVS 3D Rhymes & Kids Songs","Education","India","Education","India","Asia","33400000","20269857567","544300.00","8118126317",2008
"GRAMMY GOLD OFFICIAL","Music","Thailand","Music","Thailand","Asia","18600000","20196704276","674400.00","8084464030",2014
"ArianaGrandeVevo","Music","United States","Music","United States","North America","17700000","20115544708","389700.00","8051644793",2010
"Maroon5VEVO","Music","United States","Music","United States","North America","14500000","20042571499","392700.00","8021496410",2009
"JYP Entertainment","Music","South Korea","Music","South Korea","Asia","27400000","19883150017","1200000.00","7961840007",2008
"Marta and Rustam","Comedy","United States","Comedy","United States","North America","20200000","19694265358","1800000.00","7884306143",2021
"Spinnin' Records","Music","Netherlands","Music","Netherlands","Europe","30100000","19607009165","400200.00","7851953726",2007
"Like Nastya Show","Entertainment","United States","Entertainment","United States","North America","42400000","19547696190","212800.00","7831862316",2017
"Shorts Break","Comedy","Nothing","Comedy","Nothing","Other","29000000","19466238065","243.00","7795195299",2021
"RihannaVEVO","Music","United States","Music","United States","North America","25100000","19458807708","377000.00","7791166183",2009
"GMA  Network","Entertainment","Philippines","Entertainment","Philippines","Asia","31900000","19428308461","3200000.00","7781853384",2006
"DanTDM","Gaming","United Kingdom","Gaming","United Kingdom","Europe","27400000","19417887510","314700.00","7775469414",2012
"Badabun","Entertainment","Nothing","Entertainment","Nothing","Other","46800000","19398045702","2.00","7773258281",2007
"Bruno Mars","Music","United States","Music","United States","North America","36700000","19378155425","701000.00","7762482470",2006
"Rotana","Music","Nothing","Music","Nothing","Other","21800000","19329351143","42.00","7738280470",2011
"��������� KIMPRO","nan","South Korea","Other","South Korea","Asia","17700000","19206701832","13600000.00","7692070733",2017
"BETER B��","nan","Turkey","Other","Turkey","Other","32700000","19180039918","5900000.00","7683595967",2012
"MalumaVEVO","Music","United States","Music","United States","North America","14100000","19013942981","395300.00","7609925782",2011
"PowerKids TV","Film & Animation","Nothing","Film & Animation","Nothing","Other","36500000","18961241905","1300000.00","7595836762",2014
"ViralHog","People & Blogs","United States","People & Blogs","United States","North America","14000000","18917687143","5500000.00","7572924857",2014
"KAROL G","Music","Colombia","Music","Colombia","South America","32100000","18699145555","1900000.00","7489858222",2013
"Mar�����","Music","Nothing","Music","Nothing","Other","26000000","18597534412","0.01","7446813765",2008
"ZEE5","Entertainment","India","Entertainment","India","Asia","14400000","18515587421","599200.00","7410734728",2018
"Sagawa /���","Entertainment","Japan","Entertainment","Japan","Asia","22000000","18347969186","2800000.00","7346627674",2021
"Like Nastya ESP","Entertainment","United States","Entertainment","United States","North America","37600000","18208196857","1300000.00","7294948743",2017
"��������������� ������ ������������������","nan","United States","Other","United States","North America","30400000","17999961915","491700.00","7209252276",2018
"KL BRO Biju Rithvik","Entertainment","Nothing","Entertainment","Nothing","Other","22800000","17988347989","8100000.00","7204609196",2020
"Yoeslan","Entertainment","United States","Entertainment","United States","North America","20700000","17963202261","3500000.00","7192540904",2020
"infobells - Tamil","Education","India","Education","India","Asia","28900000","17930570614","439300.00","7181030036",2014
"SonyMusicSouthVEVO","Music","United States","Music","United States","North America","18000000","17921124985","1000000.00","7174149994",2014
"BuzzFeedVideo","People & Blogs","United States","People & Blogs","United States","North America","20100000","17913237851","36400.00","7171336060",2011
"Eros Now Music","Entertainment","India","Entertainment","India","Asia","32700000","17853798780","81100.00","7151353842",2012
"David Guetta","Music","United States","Music","United States","North America","25700000","17793809548","656900.00","7125430889",2009
