"earnings_bracket","channel_count","avg_subscribers","avg_views"
"Dưới $1,000","81","25500000.000000000000","9638244842.01234568"
"$1,000 - $10,000","22","16827272.727272727273","3890203204.13636364"
"$10,000 - $50,000","69","16001449.275362318841","3958433903.91304348"
"$50,000 - $100,000","78","17637179.487179487179","4839882076.33333333"
"Trên $100,000","656","24146493.902439024390","13313096006.33384146"
