"country","continent","abbreviation","channel_count","total_subscribers","total_views","avg_earnings","latitude","longitude","country_rank","category"
"Egypt","Other","EG","1","15100000","5324913850","184200.000000000000","26.820553","30.802498","97","People & Blogs"
"United Kingdom","Europe","GB","1","15400000","3736069980","670800.000000000000","55.378051","-3.435973","97","Science & Technology"
"Brazil","South America","BR","1","21600000","9597894786","772700.000000000000","-14.235004","-51.925280","97","Autos & Vehicles"
"United Arab Emirates","Other","AE","1","15400000","11513738907","320700.000000000000","23.424076","53.847818","97","Gaming"
"United Kingdom","Europe","GB","1","13500000","11717217293","2000000.000000000000","55.378051","-3.435973","97","Comedy"
"United Kingdom","Europe","GB","1","32100000","10602236110","226100.000000000000","55.378051","-3.435973","97","Shows"
"United Kingdom","Europe","GB","1","13600000","9685060624","177700.000000000000","55.378051","-3.435973","97","Pets & Animals"
"United Arab Emirates","Other","AE","1","20200000","2764127969","62200.000000000000","23.424076","53.847818","97","Comedy"
"Australia","Oceania","AU","1","17200000","8903647480","0.10000000000000000000","-25.274398","133.775136","97","Education"
"Colombia","South America","CO","1","26700000","10317306313","97500.000000000000","4.570868","-74.297333","97","Comedy"
"China","Asia","CN","1","17600000","2977741577","89400.000000000000","35.861660","104.195397","97","Howto & Style"
"Saudi Arabia","Other","SA","1","15500000","8265129639","540100.000000000000","23.885942","45.079162","97","Shows"
"Sweden","Europe","SE","1","12300000","374123483","15500.0000000000000000","60.128161","18.643501","97","Gaming"
"Iraq","Other","IQ","1","17400000","11144195464","452000.000000000000","33.223191","43.679291","97","Music"
"Malaysia","Other","MY","1","17700000","9059696049","470900.000000000000","4.210484","101.975766","97","Film & Animation"
"Turkey","Other","TR","1","24100000","56106087508","1700000.000000000000","38.963745","35.243322","97","Music"
"Saudi Arabia","Other","SA","1","15500000","6386271870","363700.000000000000","23.885942","45.079162","97","Music"
"Ukraine","Other","UA","1","12900000","5585085130","284500.000000000000","48.379433","31.165580","97","Shows"
"Cuba","Other","CU","1","46300000","22936630813","0.38000000000000000000","21.521757","-77.781167","97","Gaming"
"Argentina","South America","AR","1","15900000","6534326412","256300.000000000000","-38.416097","-63.616672","97","Gaming"
"Brazil","South America","BR","1","12300000","9029609749","2200000.000000000000","-14.235004","-51.925280","97","Sports"
"Andorra","Other","AD","1","15100000","2400037562","0.34000000000000000000","NaN","NaN","97","Howto & Style"
"Canada","North America","CA","1","39200000","44900897958","2200000.000000000000","56.130366","-106.346771","97","Education"
"Mexico","North America","MX","1","12500000","3140883140","124000.000000000000","23.634501","-102.552784","97","Travel & Events"
"Spain","Europe","ES","1","16600000","3696973456","262.0000000000000000","40.463667","-3.749220","97","Howto & Style"
"El Salvador","Other","SV","1","46100000","10323391593","135400.000000000000","13.794185","-88.896530","97","Gaming"
"Thailand","Asia","TH","1","16200000","14563841315","899000.000000000000","15.870032","100.992541","97","News & Politics"
"Bangladesh","Other","BD","1","13900000","12129583055","0.00000000000000000000","23.684994","90.356331","97","News & Politics"
"Indonesia","Asia","ID","1","15000000","11827310821","452300.000000000000","-0.789275","113.921327","97","News & Politics"
"France","Europe","FR","1","14400000","3086254545","45700.000000000000","46.227638","2.213749","97","Comedy"
"Mexico","North America","MX","1","16000000","5997599089","449600.000000000000","23.634501","-102.552784","97","Film & Animation"
"Germany","Europe","DE","1","19800000","3234880084","22600.000000000000","51.165691","10.451526","97","Science & Technology"
"Sweden","Europe","SE","1","20600000","10292874715","324900.000000000000","60.128161","18.643501","97","Music"
"Singapore","Other","SG","1","15700000","6153495609","3800.0000000000000000","1.352083","103.819836","97","nan"
"Argentina","South America","AR","1","17200000","11445492404","334800.000000000000","-38.416097","-63.616672","97","Education"
"United Kingdom","Europe","GB","1","14500000","4598387043","265100.000000000000","55.378051","-3.435973","97","News & Politics"
"Pakistan","Other","PK","1","13000000","301547793","2.0000000000000000","30.375321","69.345116","97","nan"
"Peru","South America","PE","1","14400000","1629801448","4000.0000000000000000","-9.189967","-75.015152","97","Entertainment"
"Germany","Europe","DE","1","14800000","272678287","152.0000000000000000","51.165691","10.451526","97","People & Blogs"
"Egypt","Other","EG","1","15500000","4499826716","131700.000000000000","26.820553","30.802498","97","Howto & Style"
"United States","North America","US","1","38600000","7339333120","182600.000000000000","37.090240","-95.712891","97","Nonprofits & Activism"
"Turkey","Other","TR","1","32700000","19180039918","5900000.000000000000","38.963745","35.243322","97","nan"
"Vietnam","Asia","VN","1","13700000","5457203710","140500.000000000000","14.058324","108.277199","97","Comedy"
"Netherlands","Europe","NL","1","30100000","19607009165","400200.000000000000","52.132633","5.291266","97","Music"
"Kuwait","Other","KW","1","30500000","4521573939","631600.000000000000","29.311660","47.481766","97","Gaming"
"United Arab Emirates","Other","AE","1","14100000","5405563355","1400000.000000000000","23.424076","53.847818","97","Autos & Vehicles"
"Venezuela","Other","VE","1","31200000","9673649438","14.0000000000000000","6.423750","-66.589730","97","People & Blogs"
"Samoa","Other","WS","1","13100000","6637820731","2.0000000000000000","-13.759029","-172.104629","97","Music"
